"","Year","Name","Lg","Team","Vote_PTS","First_Place","BS_G","AB","R","BS_H","BS_HR","BS_BB","OPS","WHIP","PS_G","GS","PS_H","PS_HR","PS_BB","WAR","BA","OBP","SLG","HR","RBI","SB","W","L","SV","ERA","IP","SO","Pitcher"
"1",1911,"Ty Cobb","AL","DET",64,8,146,592,148,248,8,44,1.086,NA,NA,NA,NA,NA,NA,10.7,0.419,0.466,0.62,8,127,83,NA,NA,NA,NA,NA,NA,FALSE
"2",1911,"Frank Schulte","NL","CHC",29,NA,154,577,105,173,21,76,0.918,NA,NA,NA,NA,NA,NA,5.2,0.3,0.384,0.534,21,107,23,NA,NA,NA,NA,NA,NA,FALSE
"3",1912,"Tris Speaker","AL","BOS",59,NA,153,580,136,222,10,82,1.031,NA,NA,NA,NA,NA,NA,10.2,0.383,0.464,0.567,10,90,52,NA,NA,NA,NA,NA,NA,FALSE
"4",1912,"Larry Doyle","NL","NYG",48,NA,143,558,98,184,10,56,0.864,NA,NA,NA,NA,NA,NA,5,0.33,0.393,0.471,10,91,36,NA,NA,NA,NA,NA,NA,FALSE
"5",1913,"Walter Johnson","AL","WSH",54,NA,55,134,12,35,2,5,0.726,0.78,48,36,232,9,38,16.6,0.261,0.293,0.433,2,14,2,36,7,2,1.14,346,243,TRUE
"6",1913,"Jake Daubert","NL","BRO",50,NA,139,508,76,178,2,44,0.829,NA,NA,NA,NA,NA,NA,4,0.35,0.405,0.423,2,52,25,NA,NA,NA,NA,NA,NA,FALSE
"7",1914,"Eddie Collins","AL","PHA",63,7,152,526,122,181,2,97,0.904,NA,NA,NA,NA,NA,NA,9.1,0.344,0.452,0.452,2,85,58,NA,NA,NA,NA,NA,NA,FALSE
"8",1914,"Johnny Evers","NL","BSN",50,NA,139,491,81,137,1,87,0.728,NA,NA,NA,NA,NA,NA,4.9,0.279,0.39,0.338,1,40,12,NA,NA,NA,NA,NA,NA,FALSE
"9",1922,"George Sisler","AL","SLB",59,NA,142,586,134,246,8,49,1.061,NA,NA,NA,NA,NA,NA,8.7,0.42,0.467,0.594,8,105,51,NA,NA,NA,NA,NA,NA,FALSE
"10",1923,"Babe Ruth","AL","NYY",64,8,152,522,151,205,41,170,1.309,NA,NA,NA,NA,NA,NA,14.1,0.393,0.545,0.764,41,130,17,NA,NA,NA,NA,NA,NA,FALSE
"11",1924,"Walter Johnson","AL","WSH",55,NA,39,113,18,32,1,3,0.697,1.116,38,38,233,10,77,7.5,0.283,0.308,0.389,1,14,0,23,7,0,2.72,277.2,158,TRUE
"12",1924,"Dazzy Vance","NL","BRO",74,NA,35,106,7,16,2,10,0.438,1.022,35,34,238,11,77,10.3,0.151,0.231,0.208,2,11,0,28,6,0,2.16,308.1,262,TRUE
"13",1925,"Roger Peckinpaugh","AL","WSH",45,NA,126,422,67,124,4,49,0.746,NA,NA,NA,NA,NA,NA,2.7,0.294,0.367,0.379,4,64,13,NA,NA,NA,NA,NA,NA,FALSE
"14",1925,"Rogers Hornsby","NL","STL",73,NA,138,504,133,203,39,83,1.245,NA,NA,NA,NA,NA,NA,10.2,0.403,0.489,0.756,39,143,5,NA,NA,NA,NA,NA,NA,FALSE
"15",1926,"George Burns","AL","CLE",63,NA,151,603,97,216,4,28,0.889,NA,NA,NA,NA,NA,NA,5.2,0.358,0.394,0.494,4,115,13,NA,NA,NA,NA,NA,NA,FALSE
"16",1926,"Bob O'Farrell","NL","STL",79,NA,147,492,63,144,7,61,0.804,NA,NA,NA,NA,NA,NA,3.9,0.293,0.371,0.433,7,68,1,NA,NA,NA,NA,NA,NA,FALSE
"17",1927,"Lou Gehrig","AL","NYY",56,7,155,584,149,218,47,109,1.24,NA,NA,NA,NA,NA,NA,11.9,0.373,0.474,0.765,47,173,10,NA,NA,NA,NA,NA,NA,FALSE
"18",1927,"Paul Waner","NL","PIT",72,NA,155,623,114,237,9,60,0.986,NA,NA,NA,NA,NA,NA,7.1,0.38,0.437,0.549,9,131,5,NA,NA,NA,NA,NA,NA,FALSE
"19",1928,"Mickey Cochrane","AL","PHA",53,NA,131,468,92,137,10,76,0.859,NA,NA,NA,NA,NA,NA,3.4,0.293,0.395,0.464,10,57,7,NA,NA,NA,NA,NA,NA,FALSE
"20",1928,"Jim Bottomley","NL","STL",76,NA,149,576,123,187,31,71,1.03,NA,NA,NA,NA,NA,NA,5.6,0.325,0.402,0.628,31,136,10,NA,NA,NA,NA,NA,NA,FALSE
"21",1929,"Lew Fonseca","AL","CLE",77,2,148,566,97,209,6,50,0.959,NA,NA,NA,NA,NA,NA,5.6,0.369,0.427,0.532,6,103,19,NA,NA,NA,NA,NA,NA,FALSE
"22",1929,"Rogers Hornsby","NL","CHC",60,3,156,602,156,229,39,87,1.139,NA,NA,NA,NA,NA,NA,10.6,0.38,0.459,0.679,39,149,2,NA,NA,NA,NA,NA,NA,FALSE
"23",1930,"Joe Cronin","AL","WSH",100,3,154,587,127,203,13,72,0.934,NA,NA,NA,NA,NA,NA,8.5,0.346,0.422,0.513,13,126,17,NA,NA,NA,NA,NA,NA,FALSE
"24",1930,"Hack Wilson","NL","CHC",111,3,155,585,146,208,56,105,1.177,NA,NA,NA,NA,NA,NA,7.4,0.356,0.454,0.723,56,191,3,NA,NA,NA,NA,NA,NA,FALSE
"25",1931,"Lefty Grove","AL","PHA",78,NA,41,115,8,23,0,3,0.446,1.077,41,30,249,10,62,10,0.2,0.22,0.226,0,12,0,31,4,5,2.06,288.2,175,TRUE
"26",1931,"Frankie Frisch","NL","STL",65,NA,131,518,96,161,4,45,0.764,NA,NA,NA,NA,NA,NA,3.9,0.311,0.368,0.396,4,82,28,NA,NA,NA,NA,NA,NA,FALSE
"27",1932,"Jimmie Foxx","AL","PHA",75,5,154,585,151,213,58,116,1.218,NA,NA,NA,NA,NA,NA,10.4,0.364,0.469,0.749,58,169,3,NA,NA,NA,NA,NA,NA,FALSE
"28",1932,"Chuck Klein","NL","PHI",78,6,154,650,152,226,38,60,1.05,NA,NA,NA,NA,NA,NA,7.5,0.348,0.404,0.646,38,137,20,NA,NA,NA,NA,NA,NA,FALSE
"29",1933,"Jimmie Foxx","AL","PHA",74,4,149,573,125,204,48,96,1.153,NA,NA,NA,NA,NA,NA,9,0.356,0.449,0.703,48,163,2,NA,NA,NA,NA,NA,NA,FALSE
