"","...1","Year","Name","Lg","Team","Vote_PTS","First_Place","WAR.x","BS_G","AB","R","BS_H","BS_HR","RBI.x","SB.x","BS_BB","BA.x","OBP.x","SLG.x","OPS","W.x","L.x","ERA.x","WHIP","PS_G","GS","SV.x","IP.x","PS_H","PS_HR","PS_BB","SO.x","Tm","WAR.y","BA.y","OBP.y","SLG.y","HR","RBI.y","SB.y","W.y","L.y","SV.y","ERA.y","IP.y","SO.y","Voting","Pitcher"
"1",1,1911,"Ty Cobb","AL","DET",64,8,10.7,146,592,148,248,8,127,83,44,0.419,0.466,0.62,1.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET",10.7,0.419,0.466,0.62,8,127,83,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"2",2,1911,"Frank Schulte","NL","CHC",29,NA,5.2,154,577,105,173,21,107,23,76,0.3,0.384,0.534,0.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHC",5.2,0.3,0.384,0.534,21,107,23,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"3",3,1912,"Tris Speaker","AL","BOS",59,NA,10.2,153,580,136,222,10,90,52,82,0.383,0.464,0.567,1.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOS",10.2,0.383,0.464,0.567,10,90,52,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"4",4,1912,"Larry Doyle","NL","NYG",48,NA,5,143,558,98,184,10,91,36,56,0.33,0.393,0.471,0.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYG",5,0.33,0.393,0.471,10,91,36,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"5",5,1913,"Walter Johnson","AL","WSH",54,NA,16.6,55,134,12,35,2,14,2,5,0.261,0.293,0.433,0.726,36,7,1.14,0.78,48,36,2,346,232,9,38,243,"WSH",16.6,0.261,0.293,0.433,2,14,2,36,7,2,1.14,346,243,"Voting",TRUE
"6",6,1913,"Jake Daubert","NL","BRO",50,NA,4,139,508,76,178,2,52,25,44,0.35,0.405,0.423,0.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRO",4,0.35,0.405,0.423,2,52,25,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"7",7,1914,"Eddie Collins","AL","PHA",63,7,9.1,152,526,122,181,2,85,58,97,0.344,0.452,0.452,0.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHA",9.1,0.344,0.452,0.452,2,85,58,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"8",8,1914,"Johnny Evers","NL","BSN",50,NA,4.9,139,491,81,137,1,40,12,87,0.279,0.39,0.338,0.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BSN",4.9,0.279,0.39,0.338,1,40,12,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"9",9,1922,"George Sisler","AL","SLB",59,NA,8.7,142,586,134,246,8,105,51,49,0.42,0.467,0.594,1.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLB",8.7,0.42,0.467,0.594,8,105,51,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"10",10,1923,"Babe Ruth","AL","NYY",64,8,14.1,152,522,151,205,41,130,17,170,0.393,0.545,0.764,1.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYY",14.1,0.393,0.545,0.764,41,130,17,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"11",11,1924,"Walter Johnson","AL","WSH",55,NA,7.5,39,113,18,32,1,14,0,3,0.283,0.308,0.389,0.697,23,7,2.72,1.116,38,38,0,277.2,233,10,77,158,"WSH",7.5,0.283,0.308,0.389,1,14,0,23,7,0,2.72,277.2,158,"Voting",TRUE
"12",12,1924,"Dazzy Vance","NL","BRO",74,NA,10.3,35,106,7,16,2,11,0,10,0.151,0.231,0.208,0.438,28,6,2.16,1.022,35,34,0,308.1,238,11,77,262,"BRO",10.3,0.151,0.231,0.208,2,11,0,28,6,0,2.16,308.1,262,"Voting",TRUE
"13",13,1925,"Roger Peckinpaugh","AL","WSH",45,NA,2.7,126,422,67,124,4,64,13,49,0.294,0.367,0.379,0.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WSH",2.7,0.294,0.367,0.379,4,64,13,NA,NA,NA,NA,NA,NA,"Voting",FALSE
