"","Year","Name","Lg","Team","Vote_PTS","First_Place","WAR","BS_G","AB","R","BS_H","BS_HR","RBI","SB","BS_BB","BA","OBP","SLG","OPS","W","L","ERA","WHIP","PS_G","GS","SV","IP","PS_H","PS_HR","PS_BB","SO"
"1",1911,"Ty Cobb","AL","DET",64,8,10.7,146,592,148,248,8,127,83,44,0.419,0.466,0.62,1.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1911,"Frank Schulte","NL","CHC",29,NA,5.2,154,577,105,173,21,107,23,76,0.3,0.384,0.534,0.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1912,"Tris Speaker","AL","BOS",59,NA,10.2,153,580,136,222,10,90,52,82,0.383,0.464,0.567,1.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1912,"Larry Doyle","NL","NYG",48,NA,5,143,558,98,184,10,91,36,56,0.33,0.393,0.471,0.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1913,"Walter Johnson","AL","WSH",54,NA,16.6,55,134,12,35,2,14,2,5,0.261,0.293,0.433,0.726,36,7,1.14,0.78,48,36,2,346,232,9,38,243
"6",1913,"Jake Daubert","NL","BRO",50,NA,4,139,508,76,178,2,52,25,44,0.35,0.405,0.423,0.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1914,"Eddie Collins","AL","PHA",63,7,9.1,152,526,122,181,2,85,58,97,0.344,0.452,0.452,0.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1914,"Johnny Evers","NL","BSN",50,NA,4.9,139,491,81,137,1,40,12,87,0.279,0.39,0.338,0.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1922,"George Sisler","AL","SLB",59,NA,8.7,142,586,134,246,8,105,51,49,0.42,0.467,0.594,1.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1923,"Babe Ruth","AL","NYY",64,8,14.1,152,522,151,205,41,130,17,170,0.393,0.545,0.764,1.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1924,"Walter Johnson","AL","WSH",55,NA,7.5,39,113,18,32,1,14,0,3,0.283,0.308,0.389,0.697,23,7,2.72,1.116,38,38,0,277.2,233,10,77,158
"12",1924,"Dazzy Vance","NL","BRO",74,NA,10.3,35,106,7,16,2,11,0,10,0.151,0.231,0.208,0.438,28,6,2.16,1.022,35,34,0,308.1,238,11,77,262
"13",1925,"Roger Peckinpaugh","AL","WSH",45,NA,2.7,126,422,67,124,4,64,13,49,0.294,0.367,0.379,0.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1925,"Rogers Hornsby","NL","STL",73,NA,10.2,138,504,133,203,39,143,5,83,0.403,0.489,0.756,1.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1926,"George Burns","AL","CLE",63,NA,5.2,151,603,97,216,4,115,13,28,0.358,0.394,0.494,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1926,"Bob O'Farrell","NL","STL",79,NA,3.9,147,492,63,144,7,68,1,61,0.293,0.371,0.433,0.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1927,"Lou Gehrig","AL","NYY",56,7,11.9,155,584,149,218,47,173,10,109,0.373,0.474,0.765,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1927,"Paul Waner","NL","PIT",72,NA,7.1,155,623,114,237,9,131,5,60,0.38,0.437,0.549,0.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1928,"Mickey Cochrane","AL","PHA",53,NA,3.4,131,468,92,137,10,57,7,76,0.293,0.395,0.464,0.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1928,"Jim Bottomley","NL","STL",76,NA,5.6,149,576,123,187,31,136,10,71,0.325,0.402,0.628,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1929,"Lew Fonseca","AL","CLE",77,2,5.6,148,566,97,209,6,103,19,50,0.369,0.427,0.532,0.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1929,"Rogers Hornsby","NL","CHC",60,3,10.6,156,602,156,229,39,149,2,87,0.38,0.459,0.679,1.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
