"","Name","Team","Vote_PTS","First_Place","Share","WAR","BS_G","AB","R","BS_H","BS_HR","RBI","SB","BS_BB","BA","OBP","SLG","OPS","W","L","ERA","WHIP","PS_G","GS","SV","IP","PS_H","PS_HR","PS_BB","SO","Year"
"1","Shohei Ohtani","LAA",420,30,100,9.9,135,497,102,151,44,95,20,91,0.304,0.412,0.654,1.066,10,5,3.14,1.061,23,23,0,132,85,18,55,167,1948
"2","Mickey Cochrane","PHA",53,NA,NA,3.4,131,468,92,137,10,57,7,76,0.293,0.395,0.464,0.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928
"3","Lew Fonseca","CLE",77,2,NA,5.6,148,566,97,209,6,103,19,50,0.369,0.427,0.532,0.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929
"4","Joe Cronin","WSH",100,3,NA,8.5,154,587,127,203,13,126,17,72,0.346,0.422,0.513,0.934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1930
"5","Lefty Grove","PHA",78,NA,NA,10,41,115,8,23,0,12,0,3,0.2,0.22,0.226,0.446,31,4,2.06,1.077,41,30,5,288.2,249,10,62,175,1931
"6","Jimmie Foxx","PHA",75,5,NA,10.4,154,585,151,213,58,169,3,116,0.364,0.469,0.749,1.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932
"7","Jimmie Foxx","PHA",74,4,NA,9,149,573,125,204,48,163,2,96,0.356,0.449,0.703,1.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933
"8","Mickey Cochrane","DET",67,NA,NA,4.5,129,437,74,140,2,75,8,78,0.32,0.428,0.412,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1934
"9","Hank Greenberg","DET",80,8,NA,7.5,152,619,120,203,36,168,4,87,0.328,0.411,0.628,1.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1935
"10","Lou Gehrig","NYY",73,4,NA,9.7,155,579,167,205,49,152,3,130,0.354,0.478,0.696,1.174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1936
"11","Charlie Gehringer","DET",78,6,NA,7.8,144,564,133,209,14,96,11,90,0.371,0.458,0.52,0.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1937
"12","Jimmie Foxx","BOS",305,19,NA,7.5,149,565,139,197,50,175,5,119,0.349,0.462,0.704,1.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1938
"13","Joe DiMaggio","NYY",280,15,NA,8.3,120,462,108,176,30,126,3,52,0.381,0.448,0.671,1.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1939
"14","Hank Greenberg","DET",292,16,NA,6.8,148,573,129,195,41,150,6,93,0.34,0.433,0.67,1.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1940
"15","Joe DiMaggio","NYY",291,15,NA,9.3,139,541,122,193,30,125,4,76,0.357,0.44,0.643,1.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1941
"16","Joe Gordon","NYY",270,12,NA,7.7,147,538,88,173,18,103,12,79,0.322,0.409,0.491,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1942
"17","Spud Chandler","NYY",246,12,NA,7.3,30,97,9,25,2,7,0,1,0.258,0.287,0.371,0.658,20,4,1.64,0.992,30,30,0,253,197,5,54,134,1943
"18","Hal Newhouser","DET",236,7,NA,8.4,47,120,10,29,0,5,1,6,0.242,0.278,0.275,0.553,29,9,2.22,1.172,47,34,2,312.1,264,6,102,187,1944
"19","Hal Newhouser","DET",236,9,NA,12.2,40,109,8,28,0,17,0,7,0.257,0.302,0.321,0.623,25,9,1.81,1.114,40,36,2,313.1,239,5,110,212,1945
"20","Ted Williams","BOS",224,9,NA,10.6,150,514,142,176,38,123,0,156,0.342,0.497,0.667,1.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1946
"21","Joe DiMaggio","NYY",202,8,NA,4.7,141,534,97,168,20,97,3,64,0.315,0.391,0.522,0.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1947
"22","Lou Boudreau","CLE",324,22,NA,10.4,152,560,116,199,18,106,3,98,0.355,0.453,0.534,0.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1948
"23","Ted Williams","BOS",272,13,NA,9,155,566,150,194,43,159,1,162,0.343,0.49,0.65,1.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1949
"24","Phil Rizzuto","NYY",284,16,NA,6.8,155,617,125,200,7,66,12,92,0.324,0.418,0.439,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1950
"25","Yogi Berra","NYY",184,6,NA,5.3,141,547,92,161,27,88,5,44,0.294,0.35,0.492,0.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951
"26","Bobby Shantz","PHA",280,16,NA,9.4,34,96,13,19,0,12,0,5,0.198,0.252,0.26,0.513,24,7,2.48,1.048,33,33,0,279.2,230,21,63,152,1952
"27","Al Rosen","CLE",336,24,NA,10.2,155,599,115,201,43,145,8,85,0.336,0.422,0.613,1.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953
"28","Yogi Berra","NYY",230,7,NA,5.3,151,584,88,179,22,125,0,56,0.307,0.367,0.488,0.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954
"29","Yogi Berra","NYY",218,7,NA,4.5,147,541,84,147,27,108,1,60,0.272,0.349,0.47,0.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955
"30","Mickey Mantle","NYY",336,24,NA,11.2,150,533,132,188,52,130,10,112,0.353,0.464,0.705,1.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1956
"31","Mickey Mantle","NYY",233,6,NA,11.3,144,474,121,173,34,94,16,146,0.365,0.512,0.665,1.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957
